Fecha;Abrir;Máx.;Mín.;Cierre;Cierre ajus
09/05/2023;1,0965;1,1005;1,0943;1,0965;1,0965
08/05/2023;1,0996;1,1001;1,0944;1,0996;1,0996
07/05/2023;1,1019;1,1053;1,1012;1,1019;1,1019
04/05/2023;1,1023;1,1048;1,0972;1,1023;1,1023
03/05/2023;1,1069;1,1091;1,0987;1,1069;1,1069
02/05/2023;1,1011;1,1058;1,1006;1,1011;1,1011
01/05/2023;1,0969;1,1005;1,0944;1,0969;1,0969
30/04/2023;1,1011;1,1036;1,0967;1,1011;1,1011
27/04/2023;1,1032;1,1044;1,0966;1,1032;1,1032
26/04/2023;1,1047;1,1066;1,0994;1,1047;1,1047
25/04/2023;1,0978;1,1094;1,0969;1,0978;1,0978
24/04/2023;1,1059;1,1068;1,0969;1,1059;1,1059
23/04/2023;1,0992;1,1034;1,0969;1,0992;1,0992
20/04/2023;1,0971;1,0993;1,094;1,0971;1,0971
19/04/2023;1,0952;1,0989;1,0934;1,0952;1,0952
18/04/2023;1,0975;1,0987;1,0918;1,0975;1,0975
17/04/2023;1,0925;1,0983;1,0923;1,0925;1,0925
16/04/2023;1,0987;1,0999;1,0911;1,0987;1,0987
13/04/2023;1,1055;1,1075;1,0978;1,1055;1,1055
12/04/2023;1,1;1,1069;1,0982;1,1;1,1
11/04/2023;1,0918;1,0999;1,0915;1,0918;1,0918
10/04/2023;1,0869;1,0927;1,0868;1,0869;1,0869
09/04/2023;1,0914;1,0918;1,0832;1,0914;1,0914
06/04/2023;1,092;1,0925;1,0881;1,092;1,092
05/04/2023;1,0903;1,093;1,0886;1,0903;1,0903
04/04/2023;1,096;1,0969;1,0905;1,096;1,096
03/04/2023;1,0912;1,0972;1,0884;1,0912;1,0912
02/04/2023;1,0803;1,0916;1,0789;1,0803;1,0803
30/03/2023;1,0905;1,0926;1,0861;1,0905;1,0905
29/03/2023;1,0844;1,0924;1,0827;1,0844;1,0844
28/03/2023;1,084;1,0872;1,0821;1,084;1,084
27/03/2023;1,0807;1,0849;1,0804;1,0807;1,0807
26/03/2023;1,0778;1,0796;1,0748;1,0778;1,0778
24/03/2023;1,0835;1,0839;1,0719;1,0835;1,0835
23/03/2023;1,087;1,0929;1,0869;1,087;1,087
22/03/2023;1,0774;1,0801;1,076;1,0774;1,0774
21/03/2023;1,0719;1,0787;1,0705;1,0719;1,0719
20/03/2023;1,0679;1,0731;1,0632;1,0679;1,0679
17/03/2023;1,0614;1,067;1,0612;1,0614;1,0614
16/03/2023;1,0583;1,0635;1,0555;1,0583;1,0583
15/03/2023;1,0728;1,076;1,052;1,0728;1,0728
14/03/2023;1,0725;1,0747;1,068;1,0725;1,0725
13/03/2023;1,0684;1,0737;1,0652;1,0684;1,0684
10/03/2023;1,0585;1,0699;1,0576;1,0585;1,0585
09/03/2023;1,055;1,0586;1,0539;1,055;1,055
08/03/2023;1,0551;1,0573;1,0527;1,0551;1,0551
07/03/2023;1,0688;1,0696;1,0572;1,0688;1,0688
06/03/2023;1,0626;1,0694;1,0623;1,0626;1,0626
03/03/2023;1,06;1,0629;1,0591;1,06;1,06
02/03/2023;1,0669;1,0673;1,0583;1,0669;1,0669
01/03/2023;1,0577;1,0691;1,0566;1,0577;1,0577
28/02/2023;1,0611;1,0645;1,0582;1,0611;1,0611
27/02/2023;1,0555;1,0619;1,0534;1,0555;1,0555
24/02/2023;1,0598;1,0614;1,0538;1,0598;1,0598
23/02/2023;1,0606;1,063;1,0582;1,0606;1,0606
22/02/2023;1,0652;1,0666;1,0619;1,0652;1,0652
21/02/2023;1,0683;1,0696;1,0645;1,0683;1,0683
20/02/2023;1,0684;1,0705;1,0672;1,0684;1,0684
17/02/2023;1,0666;1,0681;1,0614;1,0666;1,0666
16/02/2023;1,0692;1,0722;1,0656;1,0692;1,0692
15/02/2023;1,0736;1,0745;1,0666;1,0736;1,0736
14/02/2023;1,073;1,0798;1,071;1,073;1,073
13/02/2023;1,0678;1,0725;1,0657;1,0678;1,0678
10/02/2023;1,0742;1,0752;1,0669;1,0742;1,0742
09/02/2023;1,0716;1,079;1,0712;1,0716;1,0716
08/02/2023;1,073;1,076;1,0717;1,073;1,073
07/02/2023;1,0731;1,0746;1,067;1,0731;1,0731
06/02/2023;1,0791;1,08;1,0718;1,0791;1,0791
03/02/2023;1,0905;1,0941;1,0811;1,0905;1,0905
02/02/2023;1,1013;1,1027;1,0888;1,1013;1,1013
01/02/2023;1,0861;1,0924;1,0853;1,0861;1,0861
31/01/2023;1,0851;1,0868;1,0804;1,0851;1,0851
30/01/2023;1,0871;1,0915;1,0855;1,0871;1,0871
27/01/2023;1,0894;1,0902;1,0839;1,0894;1,0894
26/01/2023;1,0922;1,0933;1,0852;1,0922;1,0922
25/01/2023;1,0888;1,0923;1,0858;1,0888;1,0888
24/01/2023;1,0874;1,0897;1,0839;1,0874;1,0874
23/01/2023;1,0865;1,092;1,0848;1,0865;1,0865
20/01/2023;1,0834;1,0857;1,0805;1,0834;1,0834
19/01/2023;1,0798;1,0833;1,0783;1,0798;1,0798
18/01/2023;1,0793;1,0884;1,0767;1,0793;1,0793
17/01/2023;1,083;1,0869;1,0787;1,083;1,083
16/01/2023;1,0825;1,0875;1,0803;1,0825;1,0825
13/01/2023;1,086;1,0868;1,0781;1,086;1,086
12/01/2023;1,0766;1,0838;1,0738;1,0766;1,0766
11/01/2023;1,0739;1,0775;1,0727;1,0739;1,0739
10/01/2023;1,0733;1,0757;1,0713;1,0733;1,0733
09/01/2023;1,0656;1,076;1,0653;1,0656;1,0656
06/01/2023;1,0522;1,0622;1,0485;1,0522;1,0522
05/01/2023;1,0606;1,0633;1,0516;1,0606;1,0606
04/01/2023;1,0547;1,0632;1,0546;1,0547;1,0547
03/01/2023;1,0678;1,0683;1,0522;1,0678;1,0678
02/01/2023;1,071;1,0712;1,0653;1,071;1,071
